No.	Sum	Result	
286	7	A3 B4 B6 C1 C5 D3 D6 
287	7	A3 B6 C1 C3 C5 D3 D6 
288	7	A3 B6 C1 C5 D2 D3 D6 
289	7	A3 B6 C1 C5 D3 D4 D6 
290	7	A1 A2 B1 B2 B3 C4 D6 
291	7	A2 B1 B2 B3 C3 C4 D6 
292	7	A2 B1 B2 B3 C4 C5 D6 
293	7	A2 B1 B2 B3 C4 D2 D6 
294	7	A1 A2 B1 B2 B6 C4 D6 
295	7	A2 B1 B2 B6 C3 C4 D6 
296	7	A2 B1 B2 B6 C4 D2 D6 
297	7	A2 B1 B2 B6 C4 D4 D6 
298	7	A2 B1 B2 B6 C4 D5 D6 
299	7	A1 A5 B4 B6 C4 D1 D6 
300	7	A5 B4 B6 C1 C4 D1 D6 
301	7	A5 B4 B6 C3 C4 D1 D6 
302	7	A5 B4 B6 C4 C5 D1 D6 
303	7	A5 B4 B6 C4 D1 D2 D6 
304	7	A1 A5 B4 C4 C6 D1 D6 
305	7	A5 B4 C1 C4 C6 D1 D6 
306	7	A5 B4 C3 C4 C6 D1 D6 
307	7	A5 B4 C4 C5 C6 D1 D6 
308	7	A5 B4 C4 C6 D1 D2 D6 
309	7	A1 A5 B4 C4 D1 D3 D6 
310	7	A5 B4 C1 C4 D1 D3 D6 
311	7	A5 B4 C3 C4 D1 D3 D6 
312	7	A5 B4 C4 D1 D2 D3 D6 
313	7	A1 B1 B4 B6 C4 D1 D6 
314	7	B1 B4 B6 C1 C4 D1 D6 
315	7	B1 B4 B6 C3 C4 D1 D6 
316	7	B1 B4 B6 C4 D1 D2 D6 
317	7	B1 B2 B4 B5 B6 D1 D6 
318	7	B1 B2 B4 B5 C3 D1 D6 
319	7	A1 B1 B2 B4 D1 D4 D6 
320	7	A4 B1 B2 B4 D1 D4 D6 
321	7	B1 B2 B4 B6 D1 D4 D6 
322	7	B1 B2 B4 C3 D1 D4 D6 
323	7	B1 B2 B4 D1 D2 D4 D6 
324	7	B1 B4 B5 C3 C5 D1 D6 
325	7	A1 B1 B4 C5 D1 D4 D6 
326	7	A4 B1 B4 C5 D1 D4 D6 
327	7	B1 B4 B6 C5 D1 D4 D6 
328	7	B1 B4 C3 C5 D1 D4 D6 
329	7	B1 B4 C5 D1 D2 D4 D6 
330	7	A4 B4 C1 C5 D1 D4 D6 
331	7	A4 B4 C4 C5 C6 D1 D6 
332	7	A2 A3 B4 C4 C5 D1 D6 
333	7	A2 A4 B4 C4 C5 D1 D6 
334	7	A3 B4 B5 C4 C5 D1 D6 
335	7	A4 B4 B5 C4 C5 D1 D6 
336	7	A3 B4 B6 C4 C5 D1 D6 
337	7	A4 B4 B6 C4 C5 D1 D6 
338	7	A2 A3 B6 C4 C5 D1 D6 
339	7	A2 A4 B6 C4 C5 D1 D6 
340	7	A2 A5 B6 C4 C5 D1 D6 
341	7	A2 B6 C4 C5 D1 D4 D6 
342	7	A3 A6 B4 B5 C5 D1 D6 
343	7	A5 A6 B4 B5 C5 D1 D6 
344	7	A6 B4 B5 C5 D1 D3 D6 
345	7	A4 B4 B5 C1 C5 D1 D6 
346	7	A1 A3 A6 B4 B5 D1 D6 
347	7	A1 A5 A6 B4 B5 D1 D6 
348	7	A1 A6 B4 B5 D1 D3 D6 
349	7	A2 A4 B4 C1 C4 C5 D1 
350	7	A2 A5 B4 C1 C4 C5 D1 
351	7	A2 B1 B4 C1 C4 C5 D1 
352	7	A2 B4 C1 C4 C5 D1 D3 
353	7	A4 B2 C1 C5 D1 D5 D6 
354	7	A4 C1 C5 C6 D1 D5 D6 
355	7	A4 C1 C5 D1 D3 D5 D6 
356	7	B2 B6 C1 C5 D1 D5 D6 
357	7	A1 A4 B4 C5 C6 D1 D6 
358	7	A1 B4 C5 C6 D1 D5 D6 
359	7	A4 B4 C3 C5 C6 D1 D6 
360	7	B4 C3 C5 C6 D1 D5 D6 
361	7	A4 B4 C5 C6 D1 D2 D6 
362	7	B4 C5 C6 D1 D2 D5 D6 
363	7	A2 C1 C3 C5 D1 D3 D6 
364	7	A4 C1 C3 C5 D1 D3 D6 
365	7	A6 C1 C3 C5 D1 D3 D6 
366	7	B5 C1 C3 C5 D1 D3 D6 
367	7	C1 C3 C4 C5 D1 D3 D6 
368	7	C1 C3 C5 D1 D3 D4 D6 
369	7	C1 C3 C5 D1 D3 D5 D6 
370	7	A1 A4 A5 B4 C6 D1 D6 
371	7	A1 A5 A6 B4 C6 D1 D6 
372	7	A1 A5 B4 B6 C6 D1 D6 
373	7	A1 A5 B4 C6 D1 D5 D6 
374	7	A5 A6 B2 B4 D1 D5 D6 
375	7	A5 B2 B6 C4 D1 D5 D6 
376	7	B1 B2 B6 C4 D1 D5 D6 
377	7	B2 B6 C4 D1 D4 D5 D6 
378	7	A1 C4 C5 C6 D1 D5 D6 
379	7	C3 C4 C5 C6 D1 D5 D6 
380	7	C4 C5 C6 D1 D2 D5 D6 
381	7	A1 C4 C5 D1 D3 D5 D6 
382	7	C3 C4 C5 D1 D3 D5 D6 
383	7	C4 C5 D1 D2 D3 D5 D6 
384	7	A1 C1 C5 C6 D1 D5 D6 
385	7	C1 C3 C5 C6 D1 D5 D6 
386	7	C1 C5 C6 D1 D2 D5 D6 
387	7	C1 C5 D1 D2 D3 D5 D6 
388	7	A4 B2 C4 C5 D1 D3 D6 
389	7	B1 B2 C4 C5 D1 D3 D6 
390	7	B2 C4 C5 D1 D3 D4 D6 
391	7	A2 A4 C4 C5 C6 D1 D6 
392	7	A2 C4 C5 C6 D1 D4 D6 
393	7	A1 A2 B2 B5 C4 D3 D6 
394	7	A2 B2 B5 B6 C4 D3 D6 
395	7	A2 B2 B5 C3 C4 D3 D6 
396	7	A2 B2 B5 C4 D2 D3 D6 
397	7	A1 A2 B2 B5 C1 D3 D6 
398	7	A2 A4 B2 B5 C1 D3 D6 
399	7	A2 B2 B5 B6 C1 D3 D6 
400	7	A2 B2 B5 C1 C3 D3 D6 
401	7	A2 B2 B5 C1 D2 D3 D6 
402	7	B4 B6 C5 C6 D1 D3 D6 
403	7	A1 A2 B2 B4 B5 C6 D6 
404	7	A2 B2 B4 B5 C3 C6 D6 
405	7	A2 B2 B4 B5 C6 D2 D6 
406	7	A1 A2 B2 B4 C6 D4 D6 
407	7	A2 B2 B4 C3 C6 D4 D6 
408	7	A2 B2 B4 C6 D2 D4 D6 
409	7	A1 A2 C1 C5 D1 D3 D6 
410	7	A2 C1 C5 D1 D2 D3 D6 
411	7	A1 A2 B1 B2 B4 C6 D6 
412	7	A2 B1 B2 B4 B6 C6 D6 
413	7	A2 B1 B2 B4 C3 C6 D6 
414	7	A2 B1 B2 B4 C6 D2 D6 
415	7	A1 A2 B1 B2 B4 D3 D6 
416	7	A2 B1 B2 B4 C3 D3 D6 
417	7	A2 B1 B2 B4 D2 D3 D6 
418	7	A1 A3 B2 B4 B5 C4 D6 
419	7	A3 A4 B2 B4 B5 C4 D6 
420	7	A3 B2 B4 B5 B6 C4 D6 
421	7	A3 B2 B4 B5 C2 C4 D6 
422	7	A3 B2 B4 B5 C4 D2 D6 
423	7	A3 B2 B4 B5 C4 D5 D6 
424	7	A2 A6 B2 B4 D3 D5 D6 
425	7	A1 A2 B2 B4 C1 D5 D6 
426	7	A2 B2 B4 C1 C3 D5 D6 
427	7	A2 B2 B4 C1 D2 D5 D6 
428	7	A2 B2 B4 C1 D3 D5 D6 
429	7	A1 A2 A5 B2 B4 C4 D6 
430	7	A2 A5 B2 B4 C3 C4 D6 
431	7	A2 A5 B2 B4 C4 D2 D6 
432	7	A2 A5 B2 B4 C4 D3 D6 
433	7	A2 B2 B4 C3 C4 C5 D6 
434	7	A2 B2 B4 C4 C5 D3 D6 
435	7	A1 A2 B2 B4 C4 D5 D6 
436	7	A2 B2 B4 C3 C4 D5 D6 
437	7	A2 B2 B4 C4 D2 D5 D6 
438	7	A2 B2 B4 C4 D3 D5 D6 
439	7	A1 A2 B2 B4 C5 C6 D6 
440	7	A2 B2 B4 C3 C5 C6 D6 
441	7	A2 B2 B4 C5 C6 D2 D6 
442	7	A1 A2 B2 B4 C6 D5 D6 
443	7	A2 B2 B4 C3 C6 D5 D6 
444	7	A2 B2 B4 C6 D2 D5 D6 
445	7	A2 B2 B4 C6 D3 D5 D6 
446	7	A2 B2 B6 C3 C4 C5 D6 
447	7	A2 B2 B6 C4 C5 D3 D6 
448	7	A2 B2 B6 C4 C5 D4 D6 
449	7	A2 B2 B6 C3 C4 D5 D6 
450	7	A2 B2 B6 C4 D3 D5 D6 
451	7	A2 B2 B6 C4 D4 D5 D6 
452	7	A1 A2 A3 B6 C4 C5 D6 
453	7	A2 A3 B5 B6 C4 C5 D6 
454	7	A2 A3 B6 C3 C4 C5 D6 
455	7	A2 A3 B6 C4 C5 D2 D6 
456	7	A2 A3 B6 C4 C5 D3 D6 
457	7	A2 A3 B6 C4 C5 D4 D6 
458	7	A1 A5 B2 B4 C4 D1 D5 
459	7	A2 A5 B2 B4 C4 D1 D5 
460	7	A5 B2 B4 B5 C4 D1 D5 
461	7	A5 B2 B4 C3 C4 D1 D5 
462	7	A5 B2 B4 C4 D1 D2 D5 
463	7	A2 A4 B2 C4 C5 D1 D6 
464	7	A2 B2 C4 C5 D1 D4 D6 
465	7	A2 A4 B3 C4 C5 D1 D6 
466	7	A2 B3 C4 C5 D1 D4 D6 
467	7	A2 A4 C1 C4 C5 D1 D6 
468	7	A2 B1 C1 C4 C5 D1 D6 
469	7	A2 A4 B5 C1 C5 D1 D6 
470	7	A2 B1 B5 C1 C5 D1 D6 
471	7	A2 B2 B3 C4 C5 D4 D6 
472	7	A2 A4 B2 B5 C4 C5 D6 
473	7	A2 B2 B5 C4 C5 D4 D6 
474	7	A2 B2 C4 C5 D1 D4 D5 
475	7	A2 A5 B2 C4 D1 D4 D5 
476	7	A1 B1 B2 C4 D1 D5 D6 
477	7	A1 B2 C4 D1 D4 D5 D6 
478	7	A3 A4 B1 B2 B4 D4 D6 
479	7	A3 B1 B2 B4 B6 D4 D6 
480	7	A3 B1 B2 B4 D4 D5 D6 
481	7	A2 A3 A6 B4 B5 C5 D6 
482	7	A3 A6 B4 B5 C2 C5 D6 
483	7	A1 A2 A5 C1 D1 D3 D6 
484	7	A1 A5 B6 C1 D1 D3 D6 
485	7	A1 A5 B1 B4 B5 D1 D6 
486	7	A1 B1 B4 B5 B6 D1 D6 
487	7	A1 A2 B1 B4 C6 D1 D6 
488	7	A1 A6 B1 B4 C6 D1 D6 
489	7	A1 B1 B4 B6 C6 D1 D6 
490	7	A1 A2 B1 B4 D1 D4 D6 
491	7	A1 A5 B1 B4 D1 D4 D6 
492	7	A1 A2 B1 C1 D1 D3 D6 
493	7	A1 B1 B6 C1 D1 D3 D6 
494	7	A1 A2 B5 C1 D1 D3 D6 
495	7	A1 B5 B6 C1 D1 D3 D6 
496	7	A1 A2 C1 D1 D3 D4 D6 
497	7	A1 B6 C1 D1 D3 D4 D6 
498	7	A1 A2 B4 C6 D1 D5 D6 
499	7	A5 B2 B4 C1 D1 D5 D6 
500	7	B2 B4 C1 D1 D3 D5 D6 
501	7	A5 B2 B6 C1 D1 D5 D6 
502	7	B1 B2 B6 C1 D1 D5 D6 
503	7	B2 B6 C1 D1 D3 D5 D6 
504	7	A1 B3 C4 D1 D3 D5 D6 
505	7	A4 B5 B6 C4 D1 D3 D6 
506	7	B2 B5 B6 C4 D1 D3 D6 
507	7	B5 B6 C1 C4 D1 D3 D6 
508	7	B5 B6 C4 C6 D1 D3 D6 
509	7	A4 B6 C4 D1 D3 D4 D6 
510	7	B2 B6 C4 D1 D3 D4 D6 
511	7	B6 C1 C4 D1 D3 D4 D6 
512	7	B6 C4 C6 D1 D3 D4 D6 
513	7	B3 B6 C4 D1 D3 D5 D6 
514	7	B6 C1 C4 D1 D3 D5 D6 
515	7	A3 B4 B5 B6 C4 C5 D6 
516	7	A3 B4 B6 C4 C5 D3 D6 
517	7	A3 B4 B6 C4 C5 D4 D6 
518	7	A3 B4 B6 C5 C6 D3 D6 
519	7	A3 B2 B6 C4 D4 D5 D6 
520	7	A3 B5 B6 C4 C5 D5 D6 
521	7	A3 B6 C4 C5 D3 D5 D6 
522	7	A3 B6 C4 C5 D4 D5 D6 
523	7	A1 A5 B2 C4 D1 D3 D6 
524	7	A1 B1 B2 C4 D1 D3 D6 
525	7	A1 B2 B5 C4 D1 D3 D6 
526	7	A1 B2 C4 D1 D3 D4 D6 
527	7	A2 B1 B3 C4 D1 D3 D6 
528	7	A2 B1 C1 C4 D1 D3 D6 
529	7	A2 B1 C4 C6 D1 D3 D6 
530	7	A2 C1 C4 D1 D3 D4 D6 
531	7	A5 B1 B4 C4 C5 D1 D5 
532	7	B1 B4 B5 C4 C5 D1 D5 
533	7	B1 B4 C1 C4 C5 D1 D5 
534	7	B1 B4 C4 C5 D1 D3 D5 
535	7	B1 B4 C4 C5 D1 D4 D5 
536	7	A3 B4 C1 C4 C5 D1 D5 
537	7	A3 B4 C4 C5 D1 D3 D5 
538	7	B2 B4 C1 C5 C6 D1 D5 
